date,idk,open,high,low,close,volume
20030109,0,41.8262,42.8565,41.8262,42.7164,10801990.123
20030110,0,42.7906,42.8565,42.2054,42.535,8363514.82800001
20030113,0,42.5433,43.0049,42.0323,42.2218,7668992.86800001
20030114,0,42.0323,42.4774,41.7851,42.3043,7298920.176
20030115,0,42.4032,42.5928,41.6449,41.6614,7024095.51500001
20030116,0,42.1148,42.2218,41.1917,41.4636,8917166.93200001
20030117,0,41.4554,41.5625,40.9691,41.1504,9364046.09800001
20030121,0,41.2658,41.4471,40.3675,40.4005,8873246.92700001
20030122,0,40.4005,40.8702,39.3537,39.4774,11788563.796
20030123,0,39.6175,40.1862,39.0159,39.9225,11566642.696
20030124,0,39.8895,40.1285,38.8922,38.9911,9319394.92000001
20030127,0,38.7768,39.8153,38.6697,38.8757,11369718.846
20030128,0,38.8181,39.8071,38.8181,39.6917,10764980.44
20030129,0,39.7082,39.9966,39.0159,39.6504,9890762.22
20030130,0,39.6504,40.4581,39.1478,39.2302,9314419.88100001
20030131,0,38.9005,39.9307,38.8181,39.4526,9116641.912
20030203,0,39.3702,39.9636,39.3208,39.6258,8079469.815
20030204,0,39.6258,40.557,38.7357,38.9252,8671950.313
20030205,0,39.2302,39.3702,38.4472,38.5296,8407196.431
20030206,0,39.9719,39.9719,38.2658,38.5625,9556119.93600001
20030207,0,39.1478,39.2384,38.5296,38.5873,9406633.85700001
20030210,0,38.5708,38.8181,38.1175,38.7768,8469077.044
20030211,0,38.8592,39.2467,38.7357,38.9087,8635186.57599999
20030212,0,39.0818,39.6504,39.0159,39.395,8798502.026
20030213,0,39.2713,39.5186,38.8181,39.1889,8909403.108
20030214,0,39.2631,40.4829,38.9994,40.4252,9600715.309
20030218,0,40.9197,41.035,40.1944,40.4829,9211095.96
20030219,0,40.4416,40.6477,39.8153,40.1944,5962171.02100001
20030220,0,40.1944,40.2851,39.5351,39.6093,6922297.253
20030221,0,39.9307,40.4911,39.4774,40.4087,8598297.47099999
20030224,0,40.1368,40.3346,39.3126,39.3208,7670813.13
20030225,0,38.7768,39.9801,38.5379,39.8647,11062497.04
20030226,0,39.9142,40.0214,39.395,39.4362,7743126.01200001
20030227,0,39.601,39.9719,39.2713,39.6423,8394334.06
20030228,0,39.8071,40.1779,39.3291,39.5928,8035183.59400001
20030303,0,40.0543,40.1203,39.3702,39.395,7349637.735
20030304,0,39.5598,39.5598,38.6862,38.7357,7252450.124
20030305,0,38.6614,39.4609,38.5708,39.4362,8788554.50600001
20030306,0,39.1148,39.9966,38.8181,39.1313,10560411.444
20030307,0,38.6533,39.7247,38.406,39.601,10647531.741
20030310,0,39.3867,39.7576,38.7768,38.8346,7173096.426
20030311,0,39.0653,39.4856,38.5708,38.5955,7461268.262
20030312,0,38.579,39.1395,38.3236,39.0653,8983417.036
20030313,0,39.9719,40.8537,39.7329,40.8043,11945331.221
20030314,0,41.1669,41.3812,40.4499,40.6807,9953492.956
20030317,0,40.7961,42.84,40.59,42.8317,14177657.37
20030318,0,42.6175,43.2027,42.4361,42.9389,11965836.203
20030319,0,43.3928,43.8304,42.9552,43.756,9783842.88999999
20030320,0,43.5249,44.0367,43.0956,43.8551,8904953.76
20030321,0,44.0202,45.2916,43.6735,45.1182,13961971.064
20030324,0,44.8788,44.8788,43.3597,43.4506,9315569.37600001
20030325,0,43.4423,44.3752,43.4011,44.1441,8079962.69
20030326,0,44.012,44.5568,43.8964,44.1028,7185324.59099999
20030327,0,43.756,44.4991,43.6488,44.1605,7712949.815
20030328,0,43.7808,44.1853,43.4588,43.8551,6551350.855
20030331,0,42.658,43.723,42.658,42.9965,9258036.28
20030401,0,43.013,43.4258,42.5341,43.3102,9756106.67
20030402,0,43.7808,44.8871,43.5909,44.6147,9568482.59999999
20030403,0,44.4165,45.0522,44.4165,44.5898,8084442.88
20030404,0,44.4165,45.1678,44.4165,45.077,6970686.585
20030407,0,45.9934,46.0017,44.8128,44.9036,9620201.574
20030408,0,44.9119,45.2833,44.7384,45.143,7049542.002
20030409,0,45.0357,45.465,44.177,44.3174,8208959.06
20030410,0,44.2019,45.044,43.9459,45.0275,9217942.36
20030411,0,44.6642,44.9531,43.7478,43.756,11085707.147
20030414,0,43.7395,44.7468,43.4341,44.7468,8391741.216
20030415,0,44.8293,45.8035,44.6394,45.6136,9594160.69999999
20030416,0,45.6466,45.8117,44.9779,45.0026,8160629.89
20030417,0,45.0275,45.82,44.8871,45.754,7602361.23599999
20030421,0,45.754,45.7787,45.2173,45.4237,7744686.187
20030422,0,44.9779,46.241,44.9119,46.2163,9719646.594
20030423,0,45.7375,46.2163,45.7375,46.1172,7106228.829
20030424,0,46.2163,46.2163,45.2256,45.5145,7444898.582
20030425,0,45.498,45.8035,44.7963,45.3989,8297866.31399999
20030428,0,45.4072,46.5713,44.9944,46.3236,10060979.821
20030429,0,46.3071,47.0831,46.2659,46.7034,9550795.38
20030430,0,47.4794,47.4794,46.1503,46.4062,9142963.81799999
20030501,0,46.497,46.497,45.5145,46.1668,8960791.863
20030502,0,45.531,46.5713,45.5228,46.3236,8052829.82
20030505,0,46.3566,46.3566,45.82,45.9026,7813000.37
20030506,0,45.8861,46.431,45.8613,46.1254,8714058.052
20030507,0,46.1585,46.1998,45.3907,45.498,9096332.54199999
20030508,0,45.1017,45.7787,45.1017,45.4403,10282760.814
20030509,0,45.7787,46.0759,45.498,45.9934,7472151.147
20030512,0,45.9934,47.0171,45.7622,46.7034,8545274.979
20030513,0,46.0347,46.497,45.8035,45.8613,10272053.982
20030514,0,46.1338,46.2163,44.5733,44.6477,13244901.18
20030515,0,44.8954,44.9036,44.078,44.3835,12767061.974
20030516,0,43.8386,44.6229,43.756,43.7725,10056863.326
20030519,0,44.1688,44.2101,43.1039,43.3597,9400480.65
20030520,0,43.3267,43.9625,43.3267,43.6074,11006127.96
20030521,0,43.5909,43.9212,43.3928,43.4341,7845098.858
20030522,0,43.4671,43.9542,43.3267,43.7065,7739114.092
20030523,0,43.5497,43.5497,42.9304,42.9552,7979669.641
20030527,0,42.9304,43.4258,42.625,43.3432,17949555.912
20030528,0,43.4258,44.4165,43.4258,44.0616,11256374.934
20030529,0,44.0449,44.5321,43.3928,43.5827,8936930.20599999
20030530,0,43.5167,44.1853,43.4011,43.4671,10932239.978
20030602,0,43.723,44.1193,43.2607,43.3102,10839818.52
20030603,0,43.4836,43.5827,43.0295,43.5497,8192243.332
20030604,0,43.7313,44.5733,43.7313,44.4577,10091379.11
20030605,0,43.8386,45.6219,43.8386,45.0852,11987855.127
20030606,0,45.3742,45.6631,44.2679,44.466,10651711.347
20030609,0,44.5403,44.7963,44.2514,44.4165,6958092.026
20030610,0,44.9119,45.3247,44.8293,45.1926,9310118.143
20030611,0,45.2091,45.721,44.1605,45.6136,9957415.00499999
20030612,0,45.8861,45.8943,44.9614,45.4319,8059612.458
20030613,0,45.4154,45.564,44.5486,44.5898,8787824.018
20030616,0,44.9696,45.6136,44.7468,45.6054,8907132.09
20030617,0,44.9036,45.721,44.9036,45.4319,7191016.466
20030618,0,45.3575,45.7214,45.1673,45.6056,6158021.682
20030619,0,45.6883,45.7627,44.9192,45.0515,6511856.357
20030620,0,45.2748,45.3245,44.4893,44.8448,12304069.686
20030623,0,44.0758,44.82,43.5548,44.4479,6908863.455
20030624,0,44.6546,45.465,44.6133,45.1673,8078963.93699999
20030625,0,45.2748,45.7792,44.7291,44.82,9341816.809
20030626,0,44.4893,44.9854,44.4231,44.8944,5988238.012
20030627,0,45.0681,45.2914,44.2494,44.5224,6371822.402
20030630,0,44.6546,45.126,44.5224,44.5554,6550071.016
20030701,0,44.2412,45.0598,43.8277,44.9027,8190581.248
20030702,0,45.2831,46.1018,45.2831,46.0273,11072176.282
20030703,0,45.895,46.4326,45.4237,45.4815,5520247.386
20030707,0,45.9777,46.8543,45.9281,46.7302,11187057.493
20030708,0,46.722,46.9452,46.5152,46.7881,7845694.06500001
20030709,0,46.8874,46.8874,46.0273,46.1762,7942676.75800001
20030710,0,45.6718,46.3003,45.25,46.0026,8570417.292
20030711,0,46.1018,47.152,45.8703,46.7716,8133139.64900001
20030714,0,47.3835,47.7143,46.2176,46.8212,10355076.882
20030715,0,47.2016,47.7143,47.0941,47.367,8522287.16800001
20030716,0,47.3256,47.5489,46.5897,46.9535,6862548.44100001
20030717,0,46.8047,47.2016,46.0687,46.325,7008389.293
20030718,0,46.6393,47.1933,46.2754,47.0031,7268743.333
20030721,0,47.0114,47.1024,46.0853,46.3003,6624682.453
20030722,0,46.3499,47.2347,46.3334,47.0362,7599364.94899999
20030723,0,47.0693,47.1189,46.2837,46.7385,5961634.15799999
20030724,0,47.1355,47.1355,46.0191,46.0357,8131569.958
20030725,0,45.9116,46.5484,45.4815,46.4574,7080583.426
20030728,0,46.4656,46.6889,45.895,46.4656,6950464.44
20030729,0,46.4408,46.54,45.6883,45.8785,8457106.94300001
20030730,0,46.1018,46.3085,45.7876,46.0935,5434387.17
20030731,0,46.5152,47.3421,46.3003,46.3168,9718989.922
20030801,0,46.077,46.3085,45.6469,45.7296,6936555.015
20030804,0,45.2996,46.3912,45.2996,46.201,7519309.982
20030805,0,45.8123,46.2672,45.68,45.7545,8369555.69900001
20030806,0,45.4899,46.507,45.4899,46.1266,7108032.79
20030807,0,46.7054,47.5489,46.54,47.1271,15461748.188
20030808,0,47.4001,47.7556,47.2678,47.7309,6947321.245
20030811,0,47.8632,48.2105,47.367,47.6729,7943887.262
20030812,0,48.0037,48.6239,47.8797,48.5991,7969949.422
20030813,0,48.3759,48.4999,47.8383,48.012,10549215.113
20030814,0,48.0203,48.3594,47.7556,47.8963,7386893.515
20030815,0,48.0037,48.1113,47.7556,48.012,3638242.023
20030818,0,48.3759,48.9134,48.2767,48.69,7326791.344
20030819,0,48.8307,48.8307,48.2932,48.69,5940109.183
20030820,0,48.3345,48.872,48.3014,48.6073,4506143.288
20030821,0,48.5908,49.1449,48.5495,48.9961,6719249.464
20030822,0,49.1531,49.1862,48.3014,48.3014,6832559.236
20030825,0,48.2932,48.872,48.1691,48.8389,6741982.211
20030826,0,48.8637,49.0788,48.2683,48.905,7318810.812
20030827,0,48.9961,49.0953,48.872,48.905,5041855.402
20030828,0,48.9961,49.1615,48.657,49.087,5078496.496
20030829,0,48.8307,49.0539,48.5495,48.8968,5355544.077
20030902,0,48.7562,49.5749,48.7231,49.5335,7784384.03999999
20030903,0,49.5749,49.6989,49.1201,49.5749,8356253.698
20030904,0,49.6576,49.7816,49.4012,49.6824,10776628.482
20030905,0,48.872,48.963,48.3759,48.657,11664724.43
20030908,0,48.4172,48.4916,48.0037,48.4172,9502167.243
20030909,0,48.4337,48.4337,47.0528,47.1768,10757644.87
20030910,0,46.7716,47.5324,46.7716,46.8708,11421295.08
20030911,0,47.2182,47.8549,47.1437,47.5241,8607059.099
20030912,0,47.2843,47.5737,46.9039,47.4745,8487337.887
20030915,0,47.5489,48.0037,47.5489,47.7391,6665435.39500001
20030916,0,47.9376,48.3923,47.7143,48.3263,7120851.172
20030917,0,48.1029,48.3759,47.6316,47.7556,7614840.303
20030918,0,47.6399,48.3594,47.6399,48.2849,8373062.071
20030919,0,47.582,48.3676,47.582,48.0782,8241975.704
20030922,0,47.706,47.7556,46.9287,47.2098,10233178.083
20030923,0,47.3752,47.8879,47.2925,47.6895,7332839.652
20030924,0,47.3174,47.5489,46.7716,46.7798,9016399.08199999
20030925,0,46.7964,47.5324,46.7964,47.061,7856578.807
20030926,0,46.8874,47.2098,46.8129,47.0031,7453283.323
20030929,0,47.3587,47.4248,46.6971,47.2843,9078434.92900001
20030930,0,47.0362,47.4248,46.1431,46.2258,13453616.687
20031001,0,46.325,47.2182,46.3168,47.2016,10921018.948
20031002,0,47.1851,47.3507,46.3402,47.2182,7189067.796
20031003,0,47.9968,48.2204,47.5164,47.6158,10941585.367
20031006,0,47.682,48.4108,47.6158,47.9636,4508092.226
20031007,0,47.8228,48.7421,47.798,48.6842,7889224.852
20031008,0,48.8664,48.883,48.2369,48.3942,6275811.127
20031009,0,49.0155,49.2059,48.4523,48.7836,9155153.207
20031010,0,48.4108,48.8581,48.3114,48.4274,5408552.498
20031013,0,48.3942,49.0237,48.3942,48.8333,4893849.227
